time, internal, external, reference, resistor, fan
"1616418649", 41.0566, 67, 25.68, 0, 100
"1616418652", 41.54, 67, 25.69, 0, 100
"1616418655", 41.7334, 67, 25.67, 0, 100
"1616418658", 41.4756, 67, 25.65, 0, 100
"1616418661", 40.2832, 67, 25.64, 0, 100
"1616418663", 39.6387, 67, 25.65, 0, 100
"1616418666", 38.9941, 67, 25.65, 0, 100
"1616418669", 38.7363, 67, 25.66, 0, 100
"1616418672", 38.4463, 67, 25.65, 0, 100
"1616418675", 38.5752, 67, 25.64, 0, 100
"1616418677", 40.8955, 67, 25.66, 0, 100
